ADJ NPOSTMOD null نفر§n-13075 role_state PR SBJ Arg0 null role
ADJ NPOSTMOD null نفر§n-13075 role_state N OBJ Arg1 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N MOS Arg2 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state PR MOZ null نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N SBJ Arg1 null role
ADJ NPOSTMOD null نفر§n-13075 role_state N POSDEP null نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N SBJ Arg1 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N SBJ Arg0 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N SBJ Arg0 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role_state N AJPP null نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state PR SBJ Arg0 null role
ADJ AJCONJ null نفر§n-13075 role_state N OBJ Arg1 نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N MOS Arg2 نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state PR MOZ null نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N SBJ Arg1 null role
ADJ AJCONJ null نفر§n-13075 role_state N POSDEP null نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N SBJ Arg1 نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N SBJ Arg0 نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N SBJ Arg0 نفر§n-13075 role
ADJ AJCONJ null نفر§n-13075 role_state N AJPP null نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state PR SBJ Arg0 null role
ADJ MOS Arg2 مشخصه§n-12756 role_state N OBJ Arg1 نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N MOS Arg2 نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state PR MOZ null نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg1 null role
ADJ MOS Arg2 مشخصه§n-12756 role_state N POSDEP null نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg1 نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
ADJ MOS Arg2 مشخصه§n-12756 role_state N AJPP null نفر§n-13075 role

N MOS Arg2 مشخصه§n-12756 role_state N POSDEP null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state PR POSDEP null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 null role
N MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 null role
N MOS Arg2 مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N POSDEP null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state PR MOZ null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state PR POSDEP null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state PR MOZ null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
N MOS Arg2 مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N POSDEP null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state PR POSDEP null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N SBJ Arg0 null role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N SBJ Arg0 null role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N POSDEP null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N SBJ Arg0 نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state PR MOZ null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state PR POSDEP null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state PR MOZ null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
ADJ NPOSTMOD null مشخصه§n-12756 role_state N MOZ null نفر§n-13075 role
N VPP Arg3 null role_state N POSDEP null نفر§n-13075 role
N VPP Arg3 null role_state PR POSDEP null نفر§n-13075 role
N VPP Arg3 null role_state N SBJ Arg0 null role
N VPP Arg3 null role_state N SBJ Arg0 null role
N VPP Arg3 null role_state N MOZ null نفر§n-13075 role
N VPP Arg3 null role_state N SBJ Arg0 نفر§n-13075 role
N VPP Arg3 null role_state N POSDEP null نفر§n-13075 role
N VPP Arg3 null role_state N SBJ Arg0 نفر§n-13075 role
N VPP Arg3 null role_state PR MOZ null نفر§n-13075 role
N VPP Arg3 null role_state PR POSDEP null نفر§n-13075 role
N VPP Arg3 null role_state PR MOZ null نفر§n-13075 role
N VPP Arg3 null role_state N MOZ null نفر§n-13075 role
N VPP Arg3 null role_state N MOZ null نفر§n-13075 role
