N NVE null رخداد§n-13136 role_action PR SBJ Arg0 null role
N NVE null رخداد§n-13136 role_action N OBJ Arg1 نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N MOS Arg2 نفر§n-13075 role
N NVE null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N SBJ Arg1 null role
N NVE null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N SBJ Arg1 نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
N NVE null رخداد§n-13136 role_action N AJPP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N OBJ Arg1 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOS Arg2 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg1 null role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg1 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N AJPP null نفر§n-13075 role

V VCL null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 null role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 null role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 null role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 null role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V VCL null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 null role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V PRD null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N SBJ Arg0 null role
V ROOT null رخداد§n-13136 role_action N SBJ Arg0 null role
V ROOT null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N POSDEP null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N SBJ Arg0 نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action PR POSDEP null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action PR MOZ null نفر§n-13075 role
V ROOT null رخداد§n-13136 role_action N MOZ null نفر§n-13075 role
